

2025-11-07T21:06:28.170676Z | conv=1 | from=Victor | to=Emil | content=Hej | delivered=LIVE
2025-11-07T21:06:32.215372800Z | conv=1 | from=Emil | to=Victor | content=Tjerna | delivered=LIVE
2025-11-07T21:06:36.427736900Z | conv=1 | from=Victor | to=Emil | content=fff | delivered=LIVE
2025-11-07T21:09:06.130120200Z | conv=1 | from=Victor | to=Emil | content=Brooor | delivered=LIVE
2025-11-07T21:09:32.545523200Z | conv=1 | from=Emil | to=Victor | content=WALLA | delivered=LIVE
2025-11-07T21:22:29.858702200Z | conv=2 | from=Vigge | to=Emil | content=Hej | delivered=LIVE
2025-11-07T21:22:33.532762900Z | conv=2 | from=Emil | to=Vigge | content=TJoo | delivered=LIVE
2025-11-07T21:22:47.566529200Z | conv=2 | from=Emil | to=Vigge | content=Wassa | delivered=LIVE
2025-11-07T21:23:15.580329300Z | conv=2 | from=Vigge | to=Emil | content=Walla | delivered=LIVE
2025-11-07T21:25:09.929617600Z | conv=2 | from=Vigge | to=Emil | content=Test 1 | delivered=LIVE
2025-12-04T17:04:23.847398900Z | conv=1 | from=Emil | to=Victor | content=Hej | delivered=LIVE
2025-12-04T17:04:31.737957Z | conv=1 | from=Victor | to=Emil | content=Tjena | delivered=LIVE
2025-12-04T17:04:56.143055800Z | conv=1 | from=Emil | to=Victor | content=Bruh | delivered=LIVE
2025-12-04T17:05:05.721069300Z | conv=1 | from=Victor | to=Emil | content=ddd | delivered=LIVE
2025-12-04T18:36:16.010314700Z | conv=1 | from=Victor | to=Emil | content=Hej | delivered=LIVE
2025-12-04T18:36:42.945739Z | conv=1 | from=Emil | to=Victor | content=Nibba | delivered=LIVE
2025-12-05T12:26:35.051936400Z | conv=1 | from=ff | to=Emil | content=Hello | delivered=LIVE
2025-12-05T12:32:45.055510200Z | conv=1 | from=Victor | to=Emil | content=Hej | delivered=LIVE
2025-12-05T12:33:18.235557900Z | conv=1 | from=Victor | to=Emil | content=Hej Victor | delivered=LIVE
2025-12-05T12:33:54.687334Z | conv=1 | from=Emil | to=Victor | content=hh | delivered=LIVE
2025-12-05T12:34:38.120084900Z | conv=1 | from=Victor | to=Emil | content=dd | delivered=LIVE
2025-12-05T12:34:42.644487700Z | conv=1 | from=Emil | to=Victor | content=ss | delivered=LIVE
2025-12-05T12:37:41.411945700Z | conv=1 | from=Victor | to=Emil | content=Hej | delivered=LIVE
2025-12-05T12:37:49.533829500Z | conv=1 | from=Emil | to=Victor | content=Sup | delivered=LIVE
2025-12-05T12:38:45.371710700Z | conv=1 | from=Emil | to=Victor | content=Vad gör du? | delivered=LIVE
2025-12-05T13:04:13.056025700Z | conv=1 | from=Victor | to=Emil | content=fff | delivered=LIVE
